round,method,dataset,num_clients,alpha,test_accuracy,test_loss,convergence_round,comm_cost_mb,category_metric,epsilon
0,FedAvg,mnist,50,iid,1022.0,2.34284,N/A,63.6,0.8978,0.0
1,FedAvg,mnist,50,iid,9115.0,0.29596,N/A,127.21,0.5,0.0
2,FedAvg,mnist,50,iid,9310.0,0.24208,N/A,190.81,0.5,0.0
3,FedAvg,mnist,50,iid,9384.0,0.20953,N/A,254.42,0.5,0.0
4,FedAvg,mnist,50,iid,9450.0,0.1867,N/A,318.02,0.5,0.0
5,FedAvg,mnist,50,iid,9518.0,0.16415,N/A,381.62,0.5,0.0
6,FedAvg,mnist,50,iid,9537.0,0.15358,N/A,445.23,0.5,0.0
7,FedAvg,mnist,50,iid,9586.0,0.14025,N/A,508.83,0.5,0.0
8,FedAvg,mnist,50,iid,9597.0,0.13821,N/A,572.44,0.5,0.0
9,FedAvg,mnist,50,iid,9610.0,0.13425,N/A,636.04,0.5,0.0
10,FedAvg,mnist,50,iid,9624.0,0.12993,N/A,699.64,0.5,0.0
11,FedAvg,mnist,50,iid,9630.0,0.12405,N/A,763.25,0.5,0.0
12,FedAvg,mnist,50,iid,9650.0,0.11962,N/A,826.85,0.5,0.0
13,FedAvg,mnist,50,iid,9662.0,0.1148,N/A,890.46,0.5,0.0
14,FedAvg,mnist,50,iid,9675.0,0.10944,N/A,954.06,0.5,0.0
15,FedAvg,mnist,50,iid,9684.0,0.10359,N/A,1017.66,0.5,0.0
16,FedAvg,mnist,50,iid,9690.0,0.10204,N/A,1081.27,0.5,0.0
17,FedAvg,mnist,50,iid,9708.0,0.09666,N/A,1144.87,0.5,0.0
18,FedAvg,mnist,50,iid,9700.0,0.09905,N/A,1208.48,0.5,0.0
19,FedAvg,mnist,50,iid,9714.0,0.09433,N/A,1272.08,0.5,0.0
20,FedAvg,mnist,50,iid,9725.0,0.09339,N/A,1335.68,0.5,0.0
