round,method,dataset,num_clients,alpha,test_accuracy,test_loss,convergence_round,comm_cost_mb,category_metric,epsilon
0,FedAvg,fmnist,100,iid,1242.0,2.29546,N/A,127.21,0.8758,0.0
1,FedAvg,fmnist,100,iid,7874.0,0.58467,N/A,254.42,0.5,0.0
2,FedAvg,fmnist,100,iid,8126.0,0.51832,N/A,381.62,0.5,0.0
3,FedAvg,fmnist,100,iid,8251.0,0.48868,N/A,508.83,0.5,0.0
4,FedAvg,fmnist,100,iid,8341.0,0.46396,N/A,636.04,0.5,0.0
5,FedAvg,fmnist,100,iid,8361.0,0.46239,N/A,763.25,0.5,0.0
6,FedAvg,fmnist,100,iid,8412.0,0.44407,N/A,890.46,0.5,0.0
7,FedAvg,fmnist,100,iid,8484.0,0.43953,N/A,1017.66,0.5,0.0
8,FedAvg,fmnist,100,iid,8477.0,0.42859,N/A,1144.87,0.5,0.0
9,FedAvg,fmnist,100,iid,8546.0,0.42137,N/A,1272.08,0.5,0.0
10,FedAvg,fmnist,100,iid,8526.0,0.4282,N/A,1399.29,0.5,0.0
11,FedAvg,fmnist,100,iid,8534.0,0.42819,N/A,1526.5,0.5,0.0
12,FedAvg,fmnist,100,iid,8571.0,0.4231,N/A,1653.7,0.5,0.0
13,FedAvg,fmnist,100,iid,8597.0,0.40971,N/A,1780.91,0.5,0.0
14,FedAvg,fmnist,100,iid,8595.0,0.40591,N/A,1908.12,0.5,0.0
15,FedAvg,fmnist,100,iid,8607.0,0.40417,N/A,2035.33,0.5,0.0
16,FedAvg,fmnist,100,iid,8609.0,0.405,N/A,2162.54,0.5,0.0
17,FedAvg,fmnist,100,iid,8602.0,0.40491,N/A,2289.74,0.5,0.0
18,FedAvg,fmnist,100,iid,8628.0,0.39951,N/A,2416.95,0.5,0.0
19,FedAvg,fmnist,100,iid,8626.0,0.39521,N/A,2544.16,0.5,0.0
20,FedAvg,fmnist,100,iid,8650.0,0.39636,N/A,2671.37,0.5,0.0
