round,method,dataset,num_clients,alpha,test_accuracy,test_loss,convergence_round,comm_cost_mb,category_metric,epsilon
0,FedAvg,mnist,10,0.01,1022.0,2.34284,N/A,12.72,0.8978,0.0
1,FedAvg,mnist,10,0.01,982.0,11.51969,N/A,25.44,0.9018,0.0
2,FedAvg,mnist,10,0.01,4481.0,3.02153,N/A,38.16,0.5519,0.0
3,FedAvg,mnist,10,0.01,1985.0,7.86951,N/A,50.88,0.8015,0.0
4,FedAvg,mnist,10,0.01,1193.0,16.08757,N/A,63.6,0.8807,0.0
5,FedAvg,mnist,10,0.01,1454.0,5.94684,N/A,76.32,0.8546,0.0
6,FedAvg,mnist,10,0.01,1107.0,7.62889,N/A,89.05,0.8893,0.0
7,FedAvg,mnist,10,0.01,2868.0,5.63977,N/A,101.77,0.7132,0.0
8,FedAvg,mnist,10,0.01,2824.0,3.88701,N/A,114.49,0.7176,0.0
9,FedAvg,mnist,10,0.01,3873.0,4.03992,N/A,127.21,0.6127,0.0
10,FedAvg,mnist,10,0.01,2692.0,10.99798,N/A,139.93,0.7308,0.0
11,FedAvg,mnist,10,0.01,1487.0,14.90214,N/A,152.65,0.8513,0.0
12,FedAvg,mnist,10,0.01,4253.0,3.45495,N/A,165.37,0.5747,0.0
13,FedAvg,mnist,10,0.01,3096.0,5.36105,N/A,178.09,0.6904,0.0
14,FedAvg,mnist,10,0.01,1078.0,24.22337,N/A,190.81,0.8922,0.0
15,FedAvg,mnist,10,0.01,4592.0,3.4405,N/A,203.53,0.5408,0.0
16,FedAvg,mnist,10,0.01,1678.0,21.47566,N/A,216.25,0.8322,0.0
17,FedAvg,mnist,10,0.01,2883.0,9.00908,N/A,228.97,0.7117,0.0
18,FedAvg,mnist,10,0.01,1118.0,24.1304,N/A,241.7,0.8882,0.0
19,FedAvg,mnist,10,0.01,1037.0,24.10671,N/A,254.42,0.8963,0.0
20,FedAvg,mnist,10,0.01,2307.0,11.21533,N/A,267.14,0.7693,0.0
