round,method,dataset,num_clients,alpha,test_accuracy,test_loss,convergence_round,comm_cost_mb,category_metric,epsilon
0,FedAvg,fmnist,100,0.01,1242.0,2.29546,N/A,127.21,0.8758,0.0
1,FedAvg,fmnist,100,0.01,2793.0,5.08809,N/A,254.42,0.7207,0.0
2,FedAvg,fmnist,100,0.01,4038.0,1.94415,N/A,381.62,0.5962,0.0
3,FedAvg,fmnist,100,0.01,3043.0,3.72828,N/A,508.83,0.6957,0.0
4,FedAvg,fmnist,100,0.01,3627.0,4.03004,N/A,636.04,0.6373,0.0
5,FedAvg,fmnist,100,0.01,3648.0,3.18308,N/A,763.25,0.6352,0.0
6,FedAvg,fmnist,100,0.01,1136.0,17.18378,N/A,890.46,0.8864,0.0
7,FedAvg,fmnist,100,0.01,4323.0,1.51257,N/A,1017.66,0.5677,0.0
8,FedAvg,fmnist,100,0.01,4086.0,2.68578,N/A,1144.87,0.5914,0.0
9,FedAvg,fmnist,100,0.01,2919.0,3.92704,N/A,1272.08,0.7081,0.0
10,FedAvg,fmnist,100,0.01,3138.0,5.25836,N/A,1399.29,0.6862,0.0
11,FedAvg,fmnist,100,0.01,3016.0,3.75034,N/A,1526.5,0.6984,0.0
12,FedAvg,fmnist,100,0.01,3689.0,2.25031,N/A,1653.7,0.6311,0.0
13,FedAvg,fmnist,100,0.01,1933.0,5.82634,N/A,1780.91,0.8067,0.0
14,FedAvg,fmnist,100,0.01,2193.0,7.2882,N/A,1908.12,0.7807,0.0
15,FedAvg,fmnist,100,0.01,3859.0,2.91159,N/A,2035.33,0.6141,0.0
16,FedAvg,fmnist,100,0.01,4049.0,3.08129,N/A,2162.54,0.5951,0.0
17,FedAvg,fmnist,100,0.01,5580.0,1.34571,N/A,2289.74,0.5,0.0
18,FedAvg,fmnist,100,0.01,3996.0,2.36785,N/A,2416.95,0.6004,0.0
19,FedAvg,fmnist,100,0.01,4712.0,2.23138,N/A,2544.16,0.5288,0.0
20,FedAvg,fmnist,100,0.01,3840.0,5.01493,N/A,2671.37,0.616,0.0
