round,method,dataset,num_clients,alpha,test_accuracy,test_loss,convergence_round,comm_cost_mb,category_metric,epsilon
0,FedAvg,mnist,100,0.01,1022.0,2.34284,N/A,127.21,0.8978,0.0
1,FedAvg,mnist,100,0.01,1310.0,4.15368,N/A,254.42,0.869,0.0
2,FedAvg,mnist,100,0.01,1478.0,5.28429,N/A,381.62,0.8522,0.0
3,FedAvg,mnist,100,0.01,1107.0,7.94028,N/A,508.83,0.8893,0.0
4,FedAvg,mnist,100,0.01,3823.0,2.41294,N/A,636.04,0.6177,0.0
5,FedAvg,mnist,100,0.01,2577.0,2.38754,N/A,763.25,0.7423,0.0
6,FedAvg,mnist,100,0.01,3217.0,2.77507,N/A,890.46,0.6783,0.0
7,FedAvg,mnist,100,0.01,2304.0,3.17073,N/A,1017.66,0.7696,0.0
8,FedAvg,mnist,100,0.01,1046.0,10.37467,N/A,1144.87,0.8954,0.0
9,FedAvg,mnist,100,0.01,1497.0,5.63284,N/A,1272.08,0.8503,0.0
10,FedAvg,mnist,100,0.01,4423.0,2.35643,N/A,1399.29,0.5577,0.0
11,FedAvg,mnist,100,0.01,5043.0,1.6282,N/A,1526.5,0.5,0.0
12,FedAvg,mnist,100,0.01,1362.0,8.79623,N/A,1653.7,0.8638,0.0
13,FedAvg,mnist,100,0.01,2808.0,4.20891,N/A,1780.91,0.7192,0.0
14,FedAvg,mnist,100,0.01,3332.0,3.28136,N/A,1908.12,0.6668,0.0
15,FedAvg,mnist,100,0.01,5151.0,2.49515,N/A,2035.33,0.5,0.0
16,FedAvg,mnist,100,0.01,2660.0,5.47923,N/A,2162.54,0.734,0.0
17,FedAvg,mnist,100,0.01,5442.0,1.38668,N/A,2289.74,0.5,0.0
18,FedAvg,mnist,100,0.01,1633.0,12.74511,N/A,2416.95,0.8367,0.0
19,FedAvg,mnist,100,0.01,3610.0,2.6175,N/A,2544.16,0.639,0.0
20,FedAvg,mnist,100,0.01,3958.0,2.077,N/A,2671.37,0.6042,0.0
