round,method,dataset,num_clients,alpha,test_accuracy,test_loss,convergence_round,comm_cost_mb,category_metric,epsilon
0,FedAvg,fmnist,50,0.01,1242.0,2.29546,N/A,63.6,0.8758,0.0
1,FedAvg,fmnist,50,0.01,1000.0,27.09399,N/A,127.21,0.9,0.0
2,FedAvg,fmnist,50,0.01,2216.0,4.32008,N/A,190.81,0.7784,0.0
3,FedAvg,fmnist,50,0.01,999.0,32.00802,N/A,254.42,0.9001,0.0
4,FedAvg,fmnist,50,0.01,1939.0,12.50674,N/A,318.02,0.8061,0.0
5,FedAvg,fmnist,50,0.01,1000.0,33.757,N/A,381.62,0.9,0.0
6,FedAvg,fmnist,50,0.01,1983.0,12.727,N/A,445.23,0.8017,0.0
7,FedAvg,fmnist,50,0.01,1283.0,16.14617,N/A,508.83,0.8717,0.0
8,FedAvg,fmnist,50,0.01,1446.0,49.12841,N/A,572.44,0.8554,0.0
9,FedAvg,fmnist,50,0.01,1106.0,22.70165,N/A,636.04,0.8894,0.0
10,FedAvg,fmnist,50,0.01,1227.0,22.51037,N/A,699.64,0.8773,0.0
11,FedAvg,fmnist,50,0.01,1249.0,13.7518,N/A,763.25,0.8751,0.0
12,FedAvg,fmnist,50,0.01,1994.0,12.9399,N/A,826.85,0.8006,0.0
13,FedAvg,fmnist,50,0.01,2009.0,11.01275,N/A,890.46,0.7991,0.0
14,FedAvg,fmnist,50,0.01,2003.0,6.38304,N/A,954.06,0.7997,0.0
15,FedAvg,fmnist,50,0.01,2266.0,5.22786,N/A,1017.66,0.7734,0.0
16,FedAvg,fmnist,50,0.01,2642.0,6.13234,N/A,1081.27,0.7358,0.0
17,FedAvg,fmnist,50,0.01,2877.0,7.75276,N/A,1144.87,0.7123,0.0
18,FedAvg,fmnist,50,0.01,1127.0,12.45008,N/A,1208.48,0.8873,0.0
19,FedAvg,fmnist,50,0.01,1719.0,7.70707,N/A,1272.08,0.8281,0.0
20,FedAvg,fmnist,50,0.01,1009.0,15.73788,N/A,1335.68,0.8991,0.0
