round,method,dataset,num_clients,alpha,test_accuracy,test_loss,convergence_round,comm_cost_mb,category_metric,epsilon
0,FedAvg,mnist,50,0.5,1022.0,2.34284,N/A,63.6,0.8978,0.0
1,FedAvg,mnist,50,0.5,7910.0,0.55626,N/A,127.21,0.5,0.0
2,FedAvg,mnist,50,0.5,8959.0,0.32699,N/A,190.81,0.5,0.0
3,FedAvg,mnist,50,0.5,9138.0,0.27905,N/A,254.42,0.5,0.0
4,FedAvg,mnist,50,0.5,9328.0,0.21829,N/A,318.02,0.5,0.0
5,FedAvg,mnist,50,0.5,9356.0,0.20757,N/A,381.62,0.5,0.0
6,FedAvg,mnist,50,0.5,9304.0,0.22324,N/A,445.23,0.5,0.0
7,FedAvg,mnist,50,0.5,9317.0,0.22725,N/A,508.83,0.5,0.0
8,FedAvg,mnist,50,0.5,9405.0,0.18602,N/A,572.44,0.5,0.0
9,FedAvg,mnist,50,0.5,9497.0,0.1632,N/A,636.04,0.5,0.0
10,FedAvg,mnist,50,0.5,9470.0,0.17519,N/A,699.64,0.5,0.0
11,FedAvg,mnist,50,0.5,9370.0,0.20775,N/A,763.25,0.5,0.0
12,FedAvg,mnist,50,0.5,9539.0,0.15121,N/A,826.85,0.5,0.0
13,FedAvg,mnist,50,0.5,9346.0,0.20419,N/A,890.46,0.5,0.0
14,FedAvg,mnist,50,0.5,9587.0,0.13625,N/A,954.06,0.5,0.0
15,FedAvg,mnist,50,0.5,9574.0,0.14599,N/A,1017.66,0.5,0.0
16,FedAvg,mnist,50,0.5,9658.0,0.12103,N/A,1081.27,0.5,0.0
17,FedAvg,mnist,50,0.5,9618.0,0.13123,N/A,1144.87,0.5,0.0
18,FedAvg,mnist,50,0.5,9628.0,0.12479,N/A,1208.48,0.5,0.0
19,FedAvg,mnist,50,0.5,9538.0,0.14641,N/A,1272.08,0.5,0.0
20,FedAvg,mnist,50,0.5,9674.0,0.10831,N/A,1335.68,0.5,0.0
