round,method,dataset,num_clients,alpha,test_accuracy,test_loss,convergence_round,comm_cost_mb,category_metric,epsilon
0,FedAvg,fmnist,100,1.0,1242.0,2.29546,N/A,127.21,0.8758,0.0
1,FedAvg,fmnist,100,1.0,7409.0,0.68918,N/A,254.42,0.5,0.0
2,FedAvg,fmnist,100,1.0,7560.0,0.62069,N/A,381.62,0.5,0.0
3,FedAvg,fmnist,100,1.0,8083.0,0.52039,N/A,508.83,0.5,0.0
4,FedAvg,fmnist,100,1.0,8235.0,0.48922,N/A,636.04,0.5,0.0
5,FedAvg,fmnist,100,1.0,8275.0,0.47729,N/A,763.25,0.5,0.0
6,FedAvg,fmnist,100,1.0,8128.0,0.50628,N/A,890.46,0.5,0.0
7,FedAvg,fmnist,100,1.0,8346.0,0.453,N/A,1017.66,0.5,0.0
8,FedAvg,fmnist,100,1.0,8421.0,0.4412,N/A,1144.87,0.5,0.0
9,FedAvg,fmnist,100,1.0,8452.0,0.43923,N/A,1272.08,0.5,0.0
10,FedAvg,fmnist,100,1.0,8429.0,0.43726,N/A,1399.29,0.5,0.0
11,FedAvg,fmnist,100,1.0,8465.0,0.42865,N/A,1526.5,0.5,0.0
12,FedAvg,fmnist,100,1.0,8470.0,0.43237,N/A,1653.7,0.5,0.0
13,FedAvg,fmnist,100,1.0,8503.0,0.42837,N/A,1780.91,0.5,0.0
14,FedAvg,fmnist,100,1.0,8502.0,0.42171,N/A,1908.12,0.5,0.0
15,FedAvg,fmnist,100,1.0,8426.0,0.45131,N/A,2035.33,0.5,0.0
16,FedAvg,fmnist,100,1.0,8514.0,0.4248,N/A,2162.54,0.5,0.0
17,FedAvg,fmnist,100,1.0,8524.0,0.41376,N/A,2289.74,0.5,0.0
18,FedAvg,fmnist,100,1.0,8532.0,0.41394,N/A,2416.95,0.5,0.0
19,FedAvg,fmnist,100,1.0,8537.0,0.42327,N/A,2544.16,0.5,0.0
20,FedAvg,fmnist,100,1.0,8554.0,0.43061,N/A,2671.37,0.5,0.0
