round,method,dataset,num_clients,alpha,test_accuracy,test_loss,convergence_round,comm_cost_mb,category_metric,epsilon
0,FedAvg,fmnist,10,0.5,1242.0,2.29546,N/A,12.72,0.8758,0.0
1,FedAvg,fmnist,10,0.5,7589.0,0.74164,N/A,25.44,0.5,0.0
2,FedAvg,fmnist,10,0.5,7588.0,0.68773,N/A,38.16,0.5,0.0
3,FedAvg,fmnist,10,0.5,7198.0,1.03815,N/A,50.88,0.5,0.0
4,FedAvg,fmnist,10,0.5,7570.0,0.76653,N/A,63.6,0.5,0.0
5,FedAvg,fmnist,10,0.5,7868.0,0.76382,N/A,76.32,0.5,0.0
6,FedAvg,fmnist,10,0.5,8343.0,0.51674,N/A,89.05,0.5,0.0
7,FedAvg,fmnist,10,0.5,7730.0,0.71723,N/A,101.77,0.5,0.0
8,FedAvg,fmnist,10,0.5,8505.0,0.44517,N/A,114.49,0.5,0.0
9,FedAvg,fmnist,10,0.5,8376.0,0.51384,N/A,127.21,0.5,0.0
10,FedAvg,fmnist,10,0.5,8302.0,0.55172,N/A,139.93,0.5,0.0
11,FedAvg,fmnist,10,0.5,8315.0,0.56774,N/A,152.65,0.5,0.0
12,FedAvg,fmnist,10,0.5,8385.0,0.50825,N/A,165.37,0.5,0.0
13,FedAvg,fmnist,10,0.5,7992.0,0.77561,N/A,178.09,0.5,0.0
14,FedAvg,fmnist,10,0.5,8603.0,0.43934,N/A,190.81,0.5,0.0
15,FedAvg,fmnist,10,0.5,8492.0,0.44275,N/A,203.53,0.5,0.0
16,FedAvg,fmnist,10,0.5,7834.0,0.86045,N/A,216.25,0.5,0.0
17,FedAvg,fmnist,10,0.5,8621.0,0.42339,N/A,228.97,0.5,0.0
18,FedAvg,fmnist,10,0.5,8440.0,0.55518,N/A,241.7,0.5,0.0
19,FedAvg,fmnist,10,0.5,8295.0,0.57749,N/A,254.42,0.5,0.0
20,FedAvg,fmnist,10,0.5,8372.0,0.56684,N/A,267.14,0.5,0.0
