round,method,dataset,num_clients,alpha,test_accuracy,test_loss,convergence_round,comm_cost_mb,category_metric,epsilon
0,FedAvg,mnist,10,0.5,1022.0,2.34284,N/A,12.72,0.8978,0.0
1,FedAvg,mnist,10,0.5,6751.0,1.13936,N/A,25.44,0.5,0.0
2,FedAvg,mnist,10,0.5,7794.0,0.80919,N/A,38.16,0.5,0.0
3,FedAvg,mnist,10,0.5,9352.0,0.2126,N/A,50.88,0.5,0.0
4,FedAvg,mnist,10,0.5,9472.0,0.17379,N/A,63.6,0.5,0.0
5,FedAvg,mnist,10,0.5,8955.0,0.34903,N/A,76.32,0.5,0.0
6,FedAvg,mnist,10,0.5,9551.0,0.14569,N/A,89.05,0.5,0.0
7,FedAvg,mnist,10,0.5,9205.0,0.27416,N/A,101.77,0.5,0.0
8,FedAvg,mnist,10,0.5,9278.0,0.24579,N/A,114.49,0.5,0.0
9,FedAvg,mnist,10,0.5,9575.0,0.14938,N/A,127.21,0.5,0.0
10,FedAvg,mnist,10,0.5,9566.0,0.15371,N/A,139.93,0.5,0.0
11,FedAvg,mnist,10,0.5,9616.0,0.1382,N/A,152.65,0.5,0.0
12,FedAvg,mnist,10,0.5,9667.0,0.1199,N/A,165.37,0.5,0.0
13,FedAvg,mnist,10,0.5,9456.0,0.20483,N/A,178.09,0.5,0.0
14,FedAvg,mnist,10,0.5,9569.0,0.15561,N/A,190.81,0.5,0.0
15,FedAvg,mnist,10,0.5,9637.0,0.13403,N/A,203.53,0.5,0.0
16,FedAvg,mnist,10,0.5,9641.0,0.12571,N/A,216.25,0.5,0.0
17,FedAvg,mnist,10,0.5,9593.0,0.1526,N/A,228.97,0.5,0.0
18,FedAvg,mnist,10,0.5,9670.0,0.11835,N/A,241.7,0.5,0.0
19,FedAvg,mnist,10,0.5,9672.0,0.1189,N/A,254.42,0.5,0.0
20,FedAvg,mnist,10,0.5,9596.0,0.14493,N/A,267.14,0.5,0.0
