round,method,dataset,num_clients,alpha,test_accuracy,test_loss,convergence_round,comm_cost_mb,category_metric,epsilon
0,FedAvg,fmnist,10,0.01,1242.0,2.29546,N/A,12.72,0.8758,0.0
1,FedAvg,fmnist,10,0.01,2702.0,5.03916,N/A,25.44,0.7298,0.0
2,FedAvg,fmnist,10,0.01,2865.0,4.81673,N/A,38.16,0.7135,0.0
3,FedAvg,fmnist,10,0.01,2962.0,4.29856,N/A,50.88,0.7038,0.0
4,FedAvg,fmnist,10,0.01,1980.0,4.93426,N/A,63.6,0.802,0.0
5,FedAvg,fmnist,10,0.01,2522.0,7.65377,N/A,76.32,0.7478,0.0
6,FedAvg,fmnist,10,0.01,2989.0,6.0336,N/A,89.05,0.7011,0.0
7,FedAvg,fmnist,10,0.01,2357.0,7.49733,N/A,101.77,0.7643,0.0
8,FedAvg,fmnist,10,0.01,3234.0,7.60846,N/A,114.49,0.6766,0.0
9,FedAvg,fmnist,10,0.01,2527.0,13.26962,N/A,127.21,0.7473,0.0
10,FedAvg,fmnist,10,0.01,2667.0,5.58972,N/A,139.93,0.7333,0.0
11,FedAvg,fmnist,10,0.01,2728.0,6.95318,N/A,152.65,0.7272,0.0
12,FedAvg,fmnist,10,0.01,3044.0,7.45758,N/A,165.37,0.6956,0.0
13,FedAvg,fmnist,10,0.01,2757.0,4.8644,N/A,178.09,0.7243,0.0
14,FedAvg,fmnist,10,0.01,4252.0,4.39844,N/A,190.81,0.5748,0.0
15,FedAvg,fmnist,10,0.01,1484.0,24.18258,N/A,203.53,0.8516,0.0
16,FedAvg,fmnist,10,0.01,2469.0,6.68558,N/A,216.25,0.7531,0.0
17,FedAvg,fmnist,10,0.01,2255.0,9.10913,N/A,228.97,0.7745,0.0
18,FedAvg,fmnist,10,0.01,2818.0,4.82638,N/A,241.7,0.7182,0.0
19,FedAvg,fmnist,10,0.01,1422.0,22.53742,N/A,254.42,0.8578,0.0
20,FedAvg,fmnist,10,0.01,1646.0,12.3844,N/A,267.14,0.8354,0.0
