round,method,dataset,num_clients,alpha,test_accuracy,test_loss,convergence_round,comm_cost_mb,category_metric,epsilon
0,FedAvg,fmnist,100,0.1,1242.0,2.29546,N/A,127.21,0.8758,0.0
1,FedAvg,fmnist,100,0.1,6073.0,1.10059,N/A,254.42,0.5,0.0
2,FedAvg,fmnist,100,0.1,6230.0,1.0954,N/A,381.62,0.5,0.0
3,FedAvg,fmnist,100,0.1,6108.0,0.99715,N/A,508.83,0.5,0.0
4,FedAvg,fmnist,100,0.1,7068.0,0.77826,N/A,636.04,0.5,0.0
5,FedAvg,fmnist,100,0.1,7338.0,0.78446,N/A,763.25,0.5,0.0
6,FedAvg,fmnist,100,0.1,7515.0,0.67158,N/A,890.46,0.5,0.0
7,FedAvg,fmnist,100,0.1,7274.0,0.77144,N/A,1017.66,0.5,0.0
8,FedAvg,fmnist,100,0.1,7089.0,0.80577,N/A,1144.87,0.5,0.0
9,FedAvg,fmnist,100,0.1,7605.0,0.79364,N/A,1272.08,0.5,0.0
10,FedAvg,fmnist,100,0.1,7376.0,0.70384,N/A,1399.29,0.5,0.0
11,FedAvg,fmnist,100,0.1,7967.0,0.60814,N/A,1526.5,0.5,0.0
12,FedAvg,fmnist,100,0.1,6725.0,0.88032,N/A,1653.7,0.5,0.0
13,FedAvg,fmnist,100,0.1,7766.0,0.58195,N/A,1780.91,0.5,0.0
14,FedAvg,fmnist,100,0.1,8133.0,0.56282,N/A,1908.12,0.5,0.0
15,FedAvg,fmnist,100,0.1,7645.0,0.61951,N/A,2035.33,0.5,0.0
16,FedAvg,fmnist,100,0.1,7920.0,0.58164,N/A,2162.54,0.5,0.0
17,FedAvg,fmnist,100,0.1,7297.0,0.77641,N/A,2289.74,0.5,0.0
18,FedAvg,fmnist,100,0.1,7304.0,0.90306,N/A,2416.95,0.5,0.0
19,FedAvg,fmnist,100,0.1,6933.0,0.98083,N/A,2544.16,0.5,0.0
20,FedAvg,fmnist,100,0.1,7404.0,0.73406,N/A,2671.37,0.5,0.0
