round,method,dataset,num_clients,alpha,test_accuracy,test_loss,convergence_round,comm_cost_mb,category_metric,epsilon
0,FedAvg,fmnist,50,0.5,1242.0,2.29546,N/A,63.6,0.8758,0.0
1,FedAvg,fmnist,50,0.5,6937.0,0.85606,N/A,127.21,0.5,0.0
2,FedAvg,fmnist,50,0.5,7038.0,0.88886,N/A,190.81,0.5,0.0
3,FedAvg,fmnist,50,0.5,7980.0,0.54163,N/A,254.42,0.5,0.0
4,FedAvg,fmnist,50,0.5,8035.0,0.54946,N/A,318.02,0.5,0.0
5,FedAvg,fmnist,50,0.5,8084.0,0.54975,N/A,381.62,0.5,0.0
6,FedAvg,fmnist,50,0.5,8064.0,0.55411,N/A,445.23,0.5,0.0
7,FedAvg,fmnist,50,0.5,8427.0,0.45362,N/A,508.83,0.5,0.0
8,FedAvg,fmnist,50,0.5,8386.0,0.46862,N/A,572.44,0.5,0.0
9,FedAvg,fmnist,50,0.5,8238.0,0.50902,N/A,636.04,0.5,0.0
10,FedAvg,fmnist,50,0.5,8422.0,0.44353,N/A,699.64,0.5,0.0
11,FedAvg,fmnist,50,0.5,8124.0,0.54617,N/A,763.25,0.5,0.0
12,FedAvg,fmnist,50,0.5,8459.0,0.43841,N/A,826.85,0.5,0.0
13,FedAvg,fmnist,50,0.5,8422.0,0.44363,N/A,890.46,0.5,0.0
14,FedAvg,fmnist,50,0.5,8314.0,0.45977,N/A,954.06,0.5,0.0
15,FedAvg,fmnist,50,0.5,8301.0,0.47372,N/A,1017.66,0.5,0.0
16,FedAvg,fmnist,50,0.5,8197.0,0.52245,N/A,1081.27,0.5,0.0
17,FedAvg,fmnist,50,0.5,8348.0,0.4927,N/A,1144.87,0.5,0.0
18,FedAvg,fmnist,50,0.5,8438.0,0.48457,N/A,1208.48,0.5,0.0
19,FedAvg,fmnist,50,0.5,8617.0,0.41301,N/A,1272.08,0.5,0.0
20,FedAvg,fmnist,50,0.5,8389.0,0.46769,N/A,1335.68,0.5,0.0
