round,method,dataset,num_clients,alpha,test_accuracy,test_loss,convergence_round,comm_cost_mb,category_metric,epsilon
0,FedAvg,mnist,10,1.0,1022.0,2.34284,N/A,12.72,0.8978,0.0
1,FedAvg,mnist,10,1.0,9177.0,0.27114,N/A,25.44,0.5,0.0
2,FedAvg,mnist,10,1.0,9564.0,0.14906,N/A,38.16,0.5,0.0
3,FedAvg,mnist,10,1.0,9631.0,0.12571,N/A,50.88,0.5,0.0
4,FedAvg,mnist,10,1.0,9662.0,0.11174,N/A,63.6,0.5,0.0
5,FedAvg,mnist,10,1.0,9615.0,0.12665,N/A,76.32,0.5,0.0
6,FedAvg,mnist,10,1.0,9670.0,0.10956,N/A,89.05,0.5,0.0
7,FedAvg,mnist,10,1.0,9635.0,0.12326,N/A,101.77,0.5,0.0
8,FedAvg,mnist,10,1.0,9651.0,0.11722,N/A,114.49,0.5,0.0
9,FedAvg,mnist,10,1.0,9747.0,0.08965,N/A,127.21,0.5,0.0
10,FedAvg,mnist,10,1.0,9778.0,0.0876,N/A,139.93,0.5,0.0
11,FedAvg,mnist,10,1.0,9715.0,0.1023,N/A,152.65,0.5,0.0
12,FedAvg,mnist,10,1.0,9752.0,0.08841,N/A,165.37,0.5,0.0
13,FedAvg,mnist,10,1.0,9750.0,0.08548,N/A,178.09,0.5,0.0
14,FedAvg,mnist,10,1.0,9758.0,0.08746,N/A,190.81,0.5,0.0
15,FedAvg,mnist,10,1.0,9759.0,0.08924,N/A,203.53,0.5,0.0
16,FedAvg,mnist,10,1.0,9762.0,0.08377,N/A,216.25,0.5,0.0
17,FedAvg,mnist,10,1.0,9753.0,0.09115,N/A,228.97,0.5,0.0
18,FedAvg,mnist,10,1.0,9754.0,0.08986,N/A,241.7,0.5,0.0
19,FedAvg,mnist,10,1.0,9699.0,0.11028,N/A,254.42,0.5,0.0
20,FedAvg,mnist,10,1.0,9749.0,0.08976,N/A,267.14,0.5,0.0
