round,method,dataset,num_clients,alpha,test_accuracy,test_loss,convergence_round,comm_cost_mb,category_metric,epsilon
0,FedAvg,fmnist,10,0.1,1242.0,2.29546,N/A,12.72,0.8758,0.0
1,FedAvg,fmnist,10,0.1,3673.0,3.14187,N/A,25.44,0.6327,0.0
2,FedAvg,fmnist,10,0.1,4830.0,2.36614,N/A,38.16,0.517,0.0
3,FedAvg,fmnist,10,0.1,3578.0,2.68985,N/A,50.88,0.6422,0.0
4,FedAvg,fmnist,10,0.1,5327.0,2.22954,N/A,63.6,0.5,0.0
5,FedAvg,fmnist,10,0.1,5258.0,2.10798,N/A,76.32,0.5,0.0
6,FedAvg,fmnist,10,0.1,7113.0,0.81456,N/A,89.05,0.5,0.0
7,FedAvg,fmnist,10,0.1,6087.0,1.66887,N/A,101.77,0.5,0.0
8,FedAvg,fmnist,10,0.1,6643.0,1.37427,N/A,114.49,0.5,0.0
9,FedAvg,fmnist,10,0.1,4729.0,2.97381,N/A,127.21,0.5271,0.0
10,FedAvg,fmnist,10,0.1,6135.0,2.28722,N/A,139.93,0.5,0.0
11,FedAvg,fmnist,10,0.1,4909.0,3.09487,N/A,152.65,0.5091,0.0
12,FedAvg,fmnist,10,0.1,5115.0,3.49943,N/A,165.37,0.5,0.0
13,FedAvg,fmnist,10,0.1,5640.0,3.05016,N/A,178.09,0.5,0.0
14,FedAvg,fmnist,10,0.1,5754.0,2.33745,N/A,190.81,0.5,0.0
15,FedAvg,fmnist,10,0.1,6949.0,1.19312,N/A,203.53,0.5,0.0
16,FedAvg,fmnist,10,0.1,5636.0,2.58013,N/A,216.25,0.5,0.0
17,FedAvg,fmnist,10,0.1,6402.0,1.83681,N/A,228.97,0.5,0.0
18,FedAvg,fmnist,10,0.1,6921.0,1.17709,N/A,241.7,0.5,0.0
19,FedAvg,fmnist,10,0.1,6040.0,2.15442,N/A,254.42,0.5,0.0
20,FedAvg,fmnist,10,0.1,6712.0,1.2206,N/A,267.14,0.5,0.0
