round,method,dataset,num_clients,alpha,test_accuracy,test_loss,convergence_round,comm_cost_mb,category_metric,epsilon
0,FedAvg,mnist,100,0.5,1022.0,2.34284,N/A,127.21,0.8978,0.0
1,FedAvg,mnist,100,0.5,8119.0,0.61963,N/A,254.42,0.5,0.0
2,FedAvg,mnist,100,0.5,8901.0,0.36005,N/A,381.62,0.5,0.0
3,FedAvg,mnist,100,0.5,8980.0,0.32638,N/A,508.83,0.5,0.0
4,FedAvg,mnist,100,0.5,8830.0,0.35226,N/A,636.04,0.5,0.0
5,FedAvg,mnist,100,0.5,9261.0,0.24403,N/A,763.25,0.5,0.0
6,FedAvg,mnist,100,0.5,9227.0,0.25037,N/A,890.46,0.5,0.0
7,FedAvg,mnist,100,0.5,9314.0,0.22689,N/A,1017.66,0.5,0.0
8,FedAvg,mnist,100,0.5,9363.0,0.20933,N/A,1144.87,0.5,0.0
9,FedAvg,mnist,100,0.5,9403.0,0.1983,N/A,1272.08,0.5,0.0
10,FedAvg,mnist,100,0.5,9432.0,0.18211,N/A,1399.29,0.5,0.0
11,FedAvg,mnist,100,0.5,9428.0,0.19183,N/A,1526.5,0.5,0.0
12,FedAvg,mnist,100,0.5,9488.0,0.17269,N/A,1653.7,0.5,0.0
13,FedAvg,mnist,100,0.5,9427.0,0.18938,N/A,1780.91,0.5,0.0
14,FedAvg,mnist,100,0.5,9499.0,0.16479,N/A,1908.12,0.5,0.0
15,FedAvg,mnist,100,0.5,9488.0,0.16407,N/A,2035.33,0.5,0.0
16,FedAvg,mnist,100,0.5,9543.0,0.15337,N/A,2162.54,0.5,0.0
17,FedAvg,mnist,100,0.5,9499.0,0.16399,N/A,2289.74,0.5,0.0
18,FedAvg,mnist,100,0.5,9555.0,0.14739,N/A,2416.95,0.5,0.0
19,FedAvg,mnist,100,0.5,9585.0,0.14235,N/A,2544.16,0.5,0.0
20,FedAvg,mnist,100,0.5,9564.0,0.14468,N/A,2671.37,0.5,0.0
