round,method,dataset,num_clients,alpha,test_accuracy,test_loss,convergence_round,comm_cost_mb,category_metric,epsilon
0,FedAvg,mnist,100,1.0,1022.0,2.34284,N/A,127.21,0.8978,0.0
1,FedAvg,mnist,100,1.0,8644.0,0.44234,N/A,254.42,0.5,0.0
2,FedAvg,mnist,100,1.0,9101.0,0.30887,N/A,381.62,0.5,0.0
3,FedAvg,mnist,100,1.0,9168.0,0.27032,N/A,508.83,0.5,0.0
4,FedAvg,mnist,100,1.0,9251.0,0.25329,N/A,636.04,0.5,0.0
5,FedAvg,mnist,100,1.0,9370.0,0.22452,N/A,763.25,0.5,0.0
6,FedAvg,mnist,100,1.0,9409.0,0.20299,N/A,890.46,0.5,0.0
7,FedAvg,mnist,100,1.0,9377.0,0.20061,N/A,1017.66,0.5,0.0
8,FedAvg,mnist,100,1.0,9437.0,0.19004,N/A,1144.87,0.5,0.0
9,FedAvg,mnist,100,1.0,9460.0,0.18149,N/A,1272.08,0.5,0.0
10,FedAvg,mnist,100,1.0,9457.0,0.17864,N/A,1399.29,0.5,0.0
11,FedAvg,mnist,100,1.0,9520.0,0.16304,N/A,1526.5,0.5,0.0
12,FedAvg,mnist,100,1.0,9485.0,0.17013,N/A,1653.7,0.5,0.0
13,FedAvg,mnist,100,1.0,9536.0,0.15603,N/A,1780.91,0.5,0.0
14,FedAvg,mnist,100,1.0,9530.0,0.15723,N/A,1908.12,0.5,0.0
15,FedAvg,mnist,100,1.0,9525.0,0.15394,N/A,2035.33,0.5,0.0
16,FedAvg,mnist,100,1.0,9574.0,0.14428,N/A,2162.54,0.5,0.0
17,FedAvg,mnist,100,1.0,9565.0,0.14434,N/A,2289.74,0.5,0.0
18,FedAvg,mnist,100,1.0,9598.0,0.1372,N/A,2416.95,0.5,0.0
19,FedAvg,mnist,100,1.0,9589.0,0.1326,N/A,2544.16,0.5,0.0
20,FedAvg,mnist,100,1.0,9614.0,0.12989,N/A,2671.37,0.5,0.0
