round,method,dataset,num_clients,alpha,test_accuracy,test_loss,convergence_round,comm_cost_mb,category_metric,epsilon
0,FedAvg,mnist,50,0.01,1022.0,2.34284,N/A,63.6,0.8978,0.0
1,FedAvg,mnist,50,0.01,1115.0,12.47478,N/A,127.21,0.8885,0.0
2,FedAvg,mnist,50,0.01,982.0,8.87118,N/A,190.81,0.9018,0.0
3,FedAvg,mnist,50,0.01,1659.0,2.47796,N/A,254.42,0.8341,0.0
4,FedAvg,mnist,50,0.01,1901.0,4.79191,N/A,318.02,0.8099,0.0
5,FedAvg,mnist,50,0.01,1906.0,11.21225,N/A,381.62,0.8094,0.0
6,FedAvg,mnist,50,0.01,1908.0,11.14206,N/A,445.23,0.8092,0.0
7,FedAvg,mnist,50,0.01,1855.0,5.02659,N/A,508.83,0.8145,0.0
8,FedAvg,mnist,50,0.01,1120.0,2.89136,N/A,572.44,0.888,0.0
9,FedAvg,mnist,50,0.01,1915.0,9.85872,N/A,636.04,0.8085,0.0
10,FedAvg,mnist,50,0.01,1152.0,5.53996,N/A,699.64,0.8848,0.0
11,FedAvg,mnist,50,0.01,2132.0,2.34604,N/A,763.25,0.7868,0.0
12,FedAvg,mnist,50,0.01,2297.0,4.08278,N/A,826.85,0.7703,0.0
13,FedAvg,mnist,50,0.01,1209.0,14.30508,N/A,890.46,0.8791,0.0
14,FedAvg,mnist,50,0.01,3015.0,2.43189,N/A,954.06,0.6985,0.0
15,FedAvg,mnist,50,0.01,1753.0,2.79121,N/A,1017.66,0.8247,0.0
16,FedAvg,mnist,50,0.01,4559.0,1.81875,N/A,1081.27,0.5441,0.0
17,FedAvg,mnist,50,0.01,2955.0,3.53324,N/A,1144.87,0.7045,0.0
18,FedAvg,mnist,50,0.01,4108.0,2.62163,N/A,1208.48,0.5892,0.0
19,FedAvg,mnist,50,0.01,1883.0,15.42221,N/A,1272.08,0.8117,0.0
20,FedAvg,mnist,50,0.01,2752.0,8.72235,N/A,1335.68,0.7248,0.0
