round,method,dataset,num_clients,alpha,test_accuracy,test_loss,convergence_round,comm_cost_mb,category_metric,epsilon
0,FedAvg,fmnist,50,0.1,1242.0,2.29546,N/A,63.6,0.8758,0.0
1,FedAvg,fmnist,50,0.1,2988.0,2.34842,N/A,127.21,0.7012,0.0
2,FedAvg,fmnist,50,0.1,5937.0,1.70475,N/A,190.81,0.5,0.0
3,FedAvg,fmnist,50,0.1,5323.0,1.25414,N/A,254.42,0.5,0.0
4,FedAvg,fmnist,50,0.1,5063.0,2.27149,N/A,318.02,0.5,0.0
5,FedAvg,fmnist,50,0.1,5520.0,1.38032,N/A,381.62,0.5,0.0
6,FedAvg,fmnist,50,0.1,6655.0,0.95288,N/A,445.23,0.5,0.0
7,FedAvg,fmnist,50,0.1,6503.0,1.11997,N/A,508.83,0.5,0.0
8,FedAvg,fmnist,50,0.1,6683.0,0.97077,N/A,572.44,0.5,0.0
9,FedAvg,fmnist,50,0.1,5230.0,1.90497,N/A,636.04,0.5,0.0
10,FedAvg,fmnist,50,0.1,6634.0,0.9667,N/A,699.64,0.5,0.0
11,FedAvg,fmnist,50,0.1,7309.0,0.71809,N/A,763.25,0.5,0.0
12,FedAvg,fmnist,50,0.1,7843.0,0.61131,N/A,826.85,0.5,0.0
13,FedAvg,fmnist,50,0.1,7762.0,0.71723,N/A,890.46,0.5,0.0
14,FedAvg,fmnist,50,0.1,6436.0,1.34851,N/A,954.06,0.5,0.0
15,FedAvg,fmnist,50,0.1,7597.0,0.70066,N/A,1017.66,0.5,0.0
16,FedAvg,fmnist,50,0.1,5909.0,1.26785,N/A,1081.27,0.5,0.0
17,FedAvg,fmnist,50,0.1,7086.0,0.94534,N/A,1144.87,0.5,0.0
18,FedAvg,fmnist,50,0.1,6836.0,1.09091,N/A,1208.48,0.5,0.0
19,FedAvg,fmnist,50,0.1,7852.0,0.58611,N/A,1272.08,0.5,0.0
20,FedAvg,fmnist,50,0.1,7468.0,0.73831,N/A,1335.68,0.5,0.0
