round,method,dataset,num_clients,alpha,test_accuracy,test_loss,convergence_round,comm_cost_mb,category_metric,epsilon
0,FedAvg,mnist,50,0.1,1022.0,2.34284,N/A,63.6,0.8978,0.0
1,FedAvg,mnist,50,0.1,4386.0,2.01956,N/A,127.21,0.5614,0.0
2,FedAvg,mnist,50,0.1,4708.0,1.39856,N/A,190.81,0.5292,0.0
3,FedAvg,mnist,50,0.1,4948.0,2.3008,N/A,254.42,0.5052,0.0
4,FedAvg,mnist,50,0.1,7360.0,0.92044,N/A,318.02,0.5,0.0
5,FedAvg,mnist,50,0.1,7676.0,0.65565,N/A,381.62,0.5,0.0
6,FedAvg,mnist,50,0.1,8031.0,0.57616,N/A,445.23,0.5,0.0
7,FedAvg,mnist,50,0.1,7236.0,0.90233,N/A,508.83,0.5,0.0
8,FedAvg,mnist,50,0.1,8884.0,0.3428,N/A,572.44,0.5,0.0
9,FedAvg,mnist,50,0.1,8730.0,0.3911,N/A,636.04,0.5,0.0
10,FedAvg,mnist,50,0.1,8572.0,0.43556,N/A,699.64,0.5,0.0
11,FedAvg,mnist,50,0.1,8633.0,0.39486,N/A,763.25,0.5,0.0
12,FedAvg,mnist,50,0.1,8327.0,0.50662,N/A,826.85,0.5,0.0
13,FedAvg,mnist,50,0.1,8531.0,0.44618,N/A,890.46,0.5,0.0
14,FedAvg,mnist,50,0.1,7966.0,0.6573,N/A,954.06,0.5,0.0
15,FedAvg,mnist,50,0.1,8678.0,0.41574,N/A,1017.66,0.5,0.0
16,FedAvg,mnist,50,0.1,8541.0,0.43883,N/A,1081.27,0.5,0.0
17,FedAvg,mnist,50,0.1,8847.0,0.37068,N/A,1144.87,0.5,0.0
18,FedAvg,mnist,50,0.1,8547.0,0.43081,N/A,1208.48,0.5,0.0
19,FedAvg,mnist,50,0.1,8904.0,0.33107,N/A,1272.08,0.5,0.0
20,FedAvg,mnist,50,0.1,9190.0,0.26486,N/A,1335.68,0.5,0.0
