round,method,dataset,num_clients,alpha,test_accuracy,test_loss,convergence_round,comm_cost_mb,category_metric,epsilon
0,FedAvg,mnist,50,1.0,1022.0,2.34284,N/A,63.6,0.8978,0.0
1,FedAvg,mnist,50,1.0,8634.0,0.44369,N/A,127.21,0.5,0.0
2,FedAvg,mnist,50,1.0,9161.0,0.28065,N/A,190.81,0.5,0.0
3,FedAvg,mnist,50,1.0,9347.0,0.22815,N/A,254.42,0.5,0.0
4,FedAvg,mnist,50,1.0,9336.0,0.22681,N/A,318.02,0.5,0.0
5,FedAvg,mnist,50,1.0,9443.0,0.19067,N/A,381.62,0.5,0.0
6,FedAvg,mnist,50,1.0,9450.0,0.18437,N/A,445.23,0.5,0.0
7,FedAvg,mnist,50,1.0,9454.0,0.18418,N/A,508.83,0.5,0.0
8,FedAvg,mnist,50,1.0,9498.0,0.16514,N/A,572.44,0.5,0.0
9,FedAvg,mnist,50,1.0,9569.0,0.15025,N/A,636.04,0.5,0.0
10,FedAvg,mnist,50,1.0,9575.0,0.14317,N/A,699.64,0.5,0.0
11,FedAvg,mnist,50,1.0,9570.0,0.14272,N/A,763.25,0.5,0.0
12,FedAvg,mnist,50,1.0,9604.0,0.13801,N/A,826.85,0.5,0.0
13,FedAvg,mnist,50,1.0,9626.0,0.12482,N/A,890.46,0.5,0.0
14,FedAvg,mnist,50,1.0,9636.0,0.12812,N/A,954.06,0.5,0.0
15,FedAvg,mnist,50,1.0,9633.0,0.1216,N/A,1017.66,0.5,0.0
16,FedAvg,mnist,50,1.0,9645.0,0.12283,N/A,1081.27,0.5,0.0
17,FedAvg,mnist,50,1.0,9633.0,0.132,N/A,1144.87,0.5,0.0
18,FedAvg,mnist,50,1.0,9666.0,0.11498,N/A,1208.48,0.5,0.0
19,FedAvg,mnist,50,1.0,9677.0,0.11032,N/A,1272.08,0.5,0.0
20,FedAvg,mnist,50,1.0,9663.0,0.11186,N/A,1335.68,0.5,0.0
