round,method,dataset,num_clients,alpha,test_accuracy,test_loss,convergence_round,comm_cost_mb,category_metric,epsilon
0,FedAvg,fmnist,50,iid,1242.0,2.29546,N/A,63.6,0.8758,0.0
1,FedAvg,fmnist,50,iid,7992.0,0.52832,N/A,127.21,0.5,0.0
2,FedAvg,fmnist,50,iid,8318.0,0.47482,N/A,190.81,0.5,0.0
3,FedAvg,fmnist,50,iid,8385.0,0.44809,N/A,254.42,0.5,0.0
4,FedAvg,fmnist,50,iid,8407.0,0.45141,N/A,318.02,0.5,0.0
5,FedAvg,fmnist,50,iid,8486.0,0.43509,N/A,381.62,0.5,0.0
6,FedAvg,fmnist,50,iid,8556.0,0.41413,N/A,445.23,0.5,0.0
7,FedAvg,fmnist,50,iid,8562.0,0.41148,N/A,508.83,0.5,0.0
8,FedAvg,fmnist,50,iid,8605.0,0.41243,N/A,572.44,0.5,0.0
9,FedAvg,fmnist,50,iid,8603.0,0.40408,N/A,636.04,0.5,0.0
10,FedAvg,fmnist,50,iid,8615.0,0.40055,N/A,699.64,0.5,0.0
11,FedAvg,fmnist,50,iid,8613.0,0.40881,N/A,763.25,0.5,0.0
12,FedAvg,fmnist,50,iid,8678.0,0.38784,N/A,826.85,0.5,0.0
13,FedAvg,fmnist,50,iid,8669.0,0.38486,N/A,890.46,0.5,0.0
14,FedAvg,fmnist,50,iid,8683.0,0.39408,N/A,954.06,0.5,0.0
15,FedAvg,fmnist,50,iid,8693.0,0.38369,N/A,1017.66,0.5,0.0
16,FedAvg,fmnist,50,iid,8695.0,0.3848,N/A,1081.27,0.5,0.0
17,FedAvg,fmnist,50,iid,8721.0,0.37301,N/A,1144.87,0.5,0.0
18,FedAvg,fmnist,50,iid,8739.0,0.37169,N/A,1208.48,0.5,0.0
19,FedAvg,fmnist,50,iid,8718.0,0.38246,N/A,1272.08,0.5,0.0
20,FedAvg,fmnist,50,iid,8737.0,0.38355,N/A,1335.68,0.5,0.0
