round,method,dataset,num_clients,alpha,test_accuracy,test_loss,convergence_round,comm_cost_mb,category_metric,epsilon
0,FedAvg,fmnist,100,0.5,1242.0,2.29546,N/A,127.21,0.8758,0.0
1,FedAvg,fmnist,100,0.5,7123.0,0.78195,N/A,254.42,0.5,0.0
2,FedAvg,fmnist,100,0.5,7555.0,0.6681,N/A,381.62,0.5,0.0
3,FedAvg,fmnist,100,0.5,7999.0,0.53869,N/A,508.83,0.5,0.0
4,FedAvg,fmnist,100,0.5,8004.0,0.55573,N/A,636.04,0.5,0.0
5,FedAvg,fmnist,100,0.5,7861.0,0.59177,N/A,763.25,0.5,0.0
6,FedAvg,fmnist,100,0.5,8181.0,0.52631,N/A,890.46,0.5,0.0
7,FedAvg,fmnist,100,0.5,8184.0,0.49566,N/A,1017.66,0.5,0.0
8,FedAvg,fmnist,100,0.5,8239.0,0.47944,N/A,1144.87,0.5,0.0
9,FedAvg,fmnist,100,0.5,8294.0,0.46599,N/A,1272.08,0.5,0.0
10,FedAvg,fmnist,100,0.5,8237.0,0.47654,N/A,1399.29,0.5,0.0
11,FedAvg,fmnist,100,0.5,8348.0,0.47579,N/A,1526.5,0.5,0.0
12,FedAvg,fmnist,100,0.5,8314.0,0.46474,N/A,1653.7,0.5,0.0
13,FedAvg,fmnist,100,0.5,8252.0,0.47486,N/A,1780.91,0.5,0.0
14,FedAvg,fmnist,100,0.5,8447.0,0.42797,N/A,1908.12,0.5,0.0
15,FedAvg,fmnist,100,0.5,8465.0,0.43849,N/A,2035.33,0.5,0.0
16,FedAvg,fmnist,100,0.5,8395.0,0.45464,N/A,2162.54,0.5,0.0
17,FedAvg,fmnist,100,0.5,8350.0,0.47729,N/A,2289.74,0.5,0.0
18,FedAvg,fmnist,100,0.5,8004.0,0.53712,N/A,2416.95,0.5,0.0
19,FedAvg,fmnist,100,0.5,8485.0,0.42451,N/A,2544.16,0.5,0.0
20,FedAvg,fmnist,100,0.5,8562.0,0.41087,N/A,2671.37,0.5,0.0
