round,method,dataset,num_clients,alpha,test_accuracy,test_loss,convergence_round,comm_cost_mb,category_metric,epsilon
0,FedAvg,mnist,10,iid,1022.0,2.34284,N/A,12.72,0.8978,0.0
1,FedAvg,mnist,10,iid,9527.0,0.15699,N/A,25.44,0.5,0.0
2,FedAvg,mnist,10,iid,9667.0,0.11185,N/A,38.16,0.5,0.0
3,FedAvg,mnist,10,iid,9716.0,0.09841,N/A,50.88,0.5,0.0
4,FedAvg,mnist,10,iid,9735.0,0.09092,N/A,63.6,0.5,0.0
5,FedAvg,mnist,10,iid,9765.0,0.08485,N/A,76.32,0.5,0.0
6,FedAvg,mnist,10,iid,9778.0,0.08052,N/A,89.05,0.5,0.0
7,FedAvg,mnist,10,iid,9773.0,0.08193,N/A,101.77,0.5,0.0
8,FedAvg,mnist,10,iid,9786.0,0.07948,N/A,114.49,0.5,0.0
9,FedAvg,mnist,10,iid,9799.0,0.07485,N/A,127.21,0.5,0.0
10,FedAvg,mnist,10,iid,9789.0,0.07741,N/A,139.93,0.5,0.0
11,FedAvg,mnist,10,iid,9782.0,0.07979,N/A,152.65,0.5,0.0
12,FedAvg,mnist,10,iid,9801.0,0.07236,N/A,165.37,0.5,0.0
13,FedAvg,mnist,10,iid,9792.0,0.07502,N/A,178.09,0.5,0.0
14,FedAvg,mnist,10,iid,9804.0,0.07275,N/A,190.81,0.5,0.0
15,FedAvg,mnist,10,iid,9790.0,0.07431,N/A,203.53,0.5,0.0
16,FedAvg,mnist,10,iid,9808.0,0.06998,N/A,216.25,0.5,0.0
17,FedAvg,mnist,10,iid,9810.0,0.0701,N/A,228.97,0.5,0.0
18,FedAvg,mnist,10,iid,9819.0,0.07443,N/A,241.7,0.5,0.0
19,FedAvg,mnist,10,iid,9807.0,0.07244,N/A,254.42,0.5,0.0
20,FedAvg,mnist,10,iid,9813.0,0.07201,N/A,267.14,0.5,0.0
