round,method,dataset,num_clients,alpha,test_accuracy,test_loss,convergence_round,comm_cost_mb,category_metric,epsilon
0,FedAvg,fmnist,10,1.0,1242.0,2.29546,N/A,12.72,0.8758,0.0
1,FedAvg,fmnist,10,1.0,7435.0,0.66787,N/A,25.44,0.5,0.0
2,FedAvg,fmnist,10,1.0,8384.0,0.46113,N/A,38.16,0.5,0.0
3,FedAvg,fmnist,10,1.0,8522.0,0.4402,N/A,50.88,0.5,0.0
4,FedAvg,fmnist,10,1.0,8339.0,0.47315,N/A,63.6,0.5,0.0
5,FedAvg,fmnist,10,1.0,8595.0,0.40909,N/A,76.32,0.5,0.0
6,FedAvg,fmnist,10,1.0,8547.0,0.44536,N/A,89.05,0.5,0.0
7,FedAvg,fmnist,10,1.0,8655.0,0.4065,N/A,101.77,0.5,0.0
8,FedAvg,fmnist,10,1.0,8249.0,0.53123,N/A,114.49,0.5,0.0
9,FedAvg,fmnist,10,1.0,8374.0,0.51641,N/A,127.21,0.5,0.0
10,FedAvg,fmnist,10,1.0,8500.0,0.49288,N/A,139.93,0.5,0.0
11,FedAvg,fmnist,10,1.0,8653.0,0.4112,N/A,152.65,0.5,0.0
12,FedAvg,fmnist,10,1.0,8492.0,0.49791,N/A,165.37,0.5,0.0
13,FedAvg,fmnist,10,1.0,8398.0,0.49616,N/A,178.09,0.5,0.0
14,FedAvg,fmnist,10,1.0,8453.0,0.45196,N/A,190.81,0.5,0.0
15,FedAvg,fmnist,10,1.0,8574.0,0.45106,N/A,203.53,0.5,0.0
16,FedAvg,fmnist,10,1.0,8463.0,0.49551,N/A,216.25,0.5,0.0
17,FedAvg,fmnist,10,1.0,8609.0,0.49822,N/A,228.97,0.5,0.0
18,FedAvg,fmnist,10,1.0,8776.0,0.44151,N/A,241.7,0.5,0.0
19,FedAvg,fmnist,10,1.0,8613.0,0.47677,N/A,254.42,0.5,0.0
20,FedAvg,fmnist,10,1.0,8585.0,0.48466,N/A,267.14,0.5,0.0
