round,method,dataset,num_clients,alpha,test_accuracy,test_loss,convergence_round,comm_cost_mb,category_metric,epsilon
0,FedAvg,mnist,10,0.1,1022.0,2.34284,N/A,12.72,0.8978,0.0
1,FedAvg,mnist,10,0.1,3313.0,4.53368,N/A,25.44,0.6687,0.0
2,FedAvg,mnist,10,0.1,4670.0,2.50297,N/A,38.16,0.533,0.0
3,FedAvg,mnist,10,0.1,6933.0,1.60082,N/A,50.88,0.5,0.0
4,FedAvg,mnist,10,0.1,6203.0,1.86247,N/A,63.6,0.5,0.0
5,FedAvg,mnist,10,0.1,5992.0,2.03884,N/A,76.32,0.5,0.0
6,FedAvg,mnist,10,0.1,7388.0,1.3262,N/A,89.05,0.5,0.0
7,FedAvg,mnist,10,0.1,8509.0,0.46708,N/A,101.77,0.5,0.0
8,FedAvg,mnist,10,0.1,6408.0,1.36882,N/A,114.49,0.5,0.0
9,FedAvg,mnist,10,0.1,8459.0,0.5048,N/A,127.21,0.5,0.0
10,FedAvg,mnist,10,0.1,5807.0,2.57624,N/A,139.93,0.5,0.0
11,FedAvg,mnist,10,0.1,8061.0,0.73988,N/A,152.65,0.5,0.0
12,FedAvg,mnist,10,0.1,8017.0,0.85639,N/A,165.37,0.5,0.0
13,FedAvg,mnist,10,0.1,6840.0,1.54818,N/A,178.09,0.5,0.0
14,FedAvg,mnist,10,0.1,8734.0,0.4201,N/A,190.81,0.5,0.0
15,FedAvg,mnist,10,0.1,9115.0,0.28773,N/A,203.53,0.5,0.0
16,FedAvg,mnist,10,0.1,9137.0,0.2844,N/A,216.25,0.5,0.0
17,FedAvg,mnist,10,0.1,9076.0,0.30857,N/A,228.97,0.5,0.0
18,FedAvg,mnist,10,0.1,9185.0,0.26391,N/A,241.7,0.5,0.0
19,FedAvg,mnist,10,0.1,7512.0,0.94736,N/A,254.42,0.5,0.0
20,FedAvg,mnist,10,0.1,7505.0,1.61195,N/A,267.14,0.5,0.0
